Оцінка 1,Оцінка 2,Рейтинговий бал
15.826058331269781,81.30147877661942,0.0
76.76134928459301,75.60166377168282,3.0
19.56446131668909,4.016660854021984,0.0
18.571505571081754,45.301428510802964,0.0
36.94492654595089,87.83370700614034,0.0
9.846668570114565,3.452613389530663,0.0
76.66116065756125,71.8516265328177,0.0
70.80027638128743,57.7163513785497,0.0
97.81733801410118,3.6223480166454434,0.0
61.46609073219145,56.722491448720945,0.0
26.07950499138139,31.79894188623973,0.0
57.955309624807455,62.134061523262936,0.0
53.026387083351196,6.4496953293603205,0.0
24.084007834594043,50.48509005903746,0.0
13.595644404197662,33.726547854352575,0.0
52.18984089868494,80.13252556327711,0.0
21.861772894150533,52.47215055368155,0.0
62.907327681686894,65.81279481782462,2.0
31.650687544458542,2.129982260806229,0.0
65.66505551921577,-1.6567907799891528,0.0
29.079499513031426,83.04747079062524,0.0
106.7047325977764,94.46068924044,4.0
86.65687445182722,51.9259799574972,0.0
62.491350652078275,33.8042199453771,0.0
68.70911651192758,102.84110105337594,0.0
58.23847307074417,11.507781215596076,0.0
28.403117956365737,50.94781211546571,0.0
74.11647479145151,50.20483790780826,0.0
32.01573009828653,65.91324583021583,0.0
82.58026291512923,74.9216743713985,0.0
12.433917279697635,33.38591287556713,0.0
55.847654967821484,33.92918476078812,0.0
62.555886000449725,71.53032456311979,2.0
63.11075472767695,66.83305141690336,2.0
30.9179659681428,77.26229942211567,0.0
14.347280947646922,70.7018102711856,0.0
53.08636131533981,86.80393741506182,0.0
-2.754075969855249,51.93155619181361,0.0
91.59080220852513,59.34851553445583,0.0
74.1853389517688,37.50146296800435,0.0
1.567994645566078,75.11548778895352,0.0
9.537347783799177,4.119713839528293,0.0
6.5805478768856664,35.07249029288233,0.0
108.7152273035516,45.292480800770534,0.0
57.05055840766221,33.12320209572597,0.0
17.978954756416734,27.509663079640315,0.0
35.600581357924625,43.92665217869847,0.0
91.46973142287918,69.84684752740401,0.0
48.49885636538374,101.60065071088505,0.0
95.6959339966298,11.748295267224231,0.0
17.487619670471968,90.89371965449435,0.0
76.25964208730413,10.030148980584725,0.0
92.31457254731029,84.85654212805306,0.0
88.7877887241163,58.960268060406996,0.0
89.84475856861982,59.76822547054384,0.0
67.38748948344039,89.33850542405688,0.0
93.30694367089237,69.60437256303187,0.0
57.853738068668974,90.86494062803465,0.0
45.60554818086453,57.00885104750954,1.0
6.06219321242124,33.644852829862174,0.0
82.35794234367296,45.70898356242523,0.0
20.7926366652513,7.9656892078289365,0.0
73.71691647320998,68.39478325324214,2.0
95.38282605678184,89.4260335949742,0.0
91.40098034344436,74.6696012585133,0.0
85.06742286166465,35.352836355769305,0.0
59.744866535879176,99.10808416780375,0.0
30.855308935484747,85.65900646376406,0.0
16.313018448675543,96.09636114972011,0.0
33.3864842381042,34.72886579718323,0.0
82.4677554393909,42.8566458392842,0.0
